Episode,Average_Reward
1700,0.0153
1701,0.0153
1702,0.0153
1703,0.0153
1704,0.0153
1705,0.0152
1706,0.0152
1707,0.0152
1708,0.0152
1709,0.0152
1710,0.0152
1711,0.0152
1712,0.0152
1713,0.0158
1714,0.0158
1715,0.0163
1716,0.0163
1717,0.0163
1718,0.0163
1719,0.0163
1720,0.0163
1721,0.0163
1722,0.0163
1723,0.0163
1724,0.0162
1725,0.0162
1726,0.0162
1727,0.0168
1728,0.0174
1729,0.0174
1730,0.0173
1731,0.0173
1732,0.0173
1733,0.0173
1734,0.0173
1735,0.0173
1736,0.0173
1737,0.0173
1738,0.0173
1739,0.0173
1740,0.0172
1741,0.0172
1742,0.0172
1743,0.0172
1744,0.0172
1745,0.0172
1746,0.0172
1747,0.0172
1748,0.0172
1749,0.0172
1750,0.0171
1751,0.0171
1752,0.0171
1753,0.0171
1754,0.0171
1755,0.0171
1756,0.0171
1757,0.0171
1758,0.0171
1759,0.0171
1760,0.0170
1761,0.0170
1762,0.0170
1763,0.0170
1764,0.0170
1765,0.0170
1766,0.0170
1767,0.0175
1768,0.0175
1769,0.0181
1770,0.0181
1771,0.0181
1772,0.0181
1773,0.0180
1774,0.0180
1775,0.0180
1776,0.0180
1777,0.0180
1778,0.0180
1779,0.0180
1780,0.0180
1781,0.0180
1782,0.0180
1783,0.0179
1784,0.0179
1785,0.0179
1786,0.0179
1787,0.0179
1788,0.0179
1789,0.0179
1790,0.0179
1791,0.0179
1792,0.0179
1793,0.0178
1794,0.0178
1795,0.0178
1796,0.0178
1797,0.0178
1798,0.0178
1799,0.0178
1800,0.0178
1801,0.0178
1802,0.0178
1803,0.0177
1804,0.0177
1805,0.0177
1806,0.0177
1807,0.0177
1808,0.0177
1809,0.0177
1810,0.0177
1811,0.0177
1812,0.0177
1813,0.0177
1814,0.0176
1815,0.0176
1816,0.0176
1817,0.0176
1818,0.0176
1819,0.0176
1820,0.0176
1821,0.0176
1822,0.0176
1823,0.0176
1824,0.0175
1825,0.0175
1826,0.0175
1827,0.0175
1828,0.0175
1829,0.0175
1830,0.0175
1831,0.0175
1832,0.0175
1833,0.0175
1834,0.0174
1835,0.0174
1836,0.0174
1837,0.0174
1838,0.0174
1839,0.0174
1840,0.0174
1841,0.0174
1842,0.0174
1843,0.0174
1844,0.0174
1845,0.0173
1846,0.0173
1847,0.0173
1848,0.0173
1849,0.0173
1850,0.0173
1851,0.0173
1852,0.0173
1853,0.0173
1854,0.0173
1855,0.0173
1856,0.0172
1857,0.0172
1858,0.0172
1859,0.0172
1860,0.0172
1861,0.0172
1862,0.0172
1863,0.0172
1864,0.0172
1865,0.0172
1866,0.0171
1867,0.0171
1868,0.0171
1869,0.0171
